,Year,Pick,Unnamed: 2,BPM,Rank_BPM,Pick.1,Avg_BPM,Rank_Pick
432,2017,13,Donovan Mitchell,3.6,,,,
433,2017,14,Bam Adebayo,2.5,,,,
434,2017,15,Justin Jackson,-2.8,,,,
435,2017,16,Justin Patton,-2.8,,,,
436,2017,17,D.J. Wilson,-2.4,,,,
437,2017,18,T.J. Leaf,-1.8,,,,
438,2017,19,John Collins,0.5,,,,
439,2017,20,Harry Giles,-2.5,,,,
440,2017,21,Terrance Ferguson,-4.0,,,,
441,2017,22,Jarrett Allen,2.3,,,,
442,2017,23,OG Anunoby,0.3,,,,
443,2017,24,Tyler Lydon,-4.3,,,,
444,2017,25,Anžejs Pasečņiks,-6.2,,,,
445,2017,26,Caleb Swanigan,-6.2,,,,
446,2017,27,Kyle Kuzma,-1.5,,,,
447,2017,28,Tony Bradley,-0.1,,,,
448,2017,29,Derrick White,2.2,,,,
449,2017,30,Josh Hart,0.6,,,,
450,2017,31,Frank Jackson,-3.9,,,,
451,2017,32,Davon Reed,-2.9,,,,
452,2017,33,Wes Iwundu,-3.9,,,,
453,2017,34,Frank Mason III,-2.7,,,,
454,2017,35,Ivan Rabb,-1.7,,,,
455,2017,36,Jonah Bolden,-1.3,,,,
456,2017,37,Semi Ojeleye,-3.4,,,,
457,2017,38,Jordan Bell,0.2,,,,
458,2017,39,Jawun Evans,-5.4,,,,
459,2017,40,Dwayne Bacon,-5.1,,,,
460,2017,41,Tyler Dorsey,-3.0,,,,
461,2017,42,Thomas Bryant,0.9,,,,
462,2017,43,Isaiah Hartenstein,2.2,,,,
463,2017,44,Damyean Dotson,-2.8,,,,
464,2017,45,Dillon Brooks,-3.3,,,,
465,2017,46,Sterling Brown,-2.1,,,,
466,2017,47,Ike Anigbogu,-1.1,,,,
467,2017,48,Sindarius Thornwell,-3.1,,,,
468,2017,49,Vlatko Čančar,-2.5,,,,
469,2017,50,Mathias Lessort,0.0,,,,
470,2017,51,Monte Morris,0.2,,,,
