Year,Pick,,BPM,Rank_BPM,Pick,Avg_BPM,Rank_Pick
2017,58,Ognjen Jaramaz,0,,,,
2017,59,Jaron Blossomgame,-3.8,,,,
2017,60,Alpha Kaba,0,,,,
2018,1,Deandre Ayton,0.7,,,,
2018,2,Marvin Bagley III,-1.5,,,,
2018,3,Luka Dončić,7.7,,,,
2018,4,Jaren Jackson Jr.,0.8,,,,
2018,5,Trae Young,2.6,,,,
2018,6,Mo Bamba,0,,,,
2018,7,Wendell Carter Jr.,-0.3,,,,
2018,8,Collin Sexton,-1.4,,,,
2018,9,Kevin Knox,-4.4,,,,
2018,10,Mikal Bridges,0.9,,,,
2018,11,Shai Gilgeous-Alexander,5.9,,,,
2018,12,Miles Bridges,0,,,,
2018,13,Jerome Robinson,-4.8,,,,
2018,14,Michael Porter Jr.,0.8,,,,
2018,15,Troy Brown Jr.,-1.8,,,,
2018,16,Zhaire Smith,-6.1,,,,
2018,17,Donte DiVincenzo,1.1,,,,
2018,18,Lonnie Walker IV,-2.5,,,,
2018,19,Kevin Huerter,-1,,,,
2018,20,Josh Okogie,-1.7,,,,
2018,21,Grayson Allen,0.1,,,,
2018,22,Chandler Hutchison,-3.9,,,,
2018,23,Aaron Holiday,-1.8,,,,
2018,24,Anfernee Simons,-1.1,,,,
2018,25,Moritz Wagner,0.2,,,,
2018,26,Landry Shamet,-1.9,,,,
2018,27,Robert Williams,4.7,,,,
2018,28,Jacob Evans,-7.4,,,,
2018,29,Džanan Musa,-4.6,,,,
2018,30,Omari Spellman,-1.5,,,,
2018,31,Elie Okobo,-4.1,,,,
2018,32,Jevon Carter,-1.4,,,,
2018,33,Jalen Brunson,2.4,,,,
2018,34,Devonte' Graham,-0.5,,,,
2018,35,Melvin Frazier,-10,,,,
2018,36,Mitchell Robinson,2.1,,,,
2018,37,Gary Trent Jr.,-1.3,,,,
2018,38,Khyri Thomas,-2.7,,,,
2018,39,Isaac Bonga,-3.6,,,,
2018,40,Rodions Kurucs,-2.8,,,,
2018,41,Jarred Vanderbilt,0,,,,
2018,42,Bruce Brown,-1.5,,,,
2018,43,Justin Jackson,0,,,,
2018,44,Issuf Sanon,0,,,,
2018,45,Hamidou Diallo,-2.1,,,,
2018,46,De'Anthony Melton,0.6,,,,
2018,47,Svi Mykhailiuk,-2.5,,,,
2018,48,Keita Bates-Diop,-1.6,,,,
2018,49,Chimezie Metu,-1.6,,,,
2018,50,Alize Johnson,-2.4,,,,
2018,51,Tony Carr,0,,,,
2018,52,Vince Edwards,-6.4,,,,
2018,53,Devon Hall,-6.7,,,,
2018,54,Shake Milton,-2,,,,
2018,55,Arnoldas Kulboka,-21.8,,,,
2018,56,Ray Spalding,-6.2,,,,
2018,57,Kevin Hervey,-5.1,,,,
2018,58,Thomas Welsh,1.2,,,,
2018,59,George King,-17.2,,,,
2018,60,Kostas Antetokounmpo,-9.9,,,,
2019,1,Zion Williamson,4.8,,,,
2019,2,Ja Morant,2.5,,,,
2019,3,RJ Barrett,-1.6,,,,
2019,4,De'Andre Hunter,-2.5,,,,
2019,5,Darius Garland,0.2,,,,
2019,6,Jarrett Culver,-4.5,,,,
2019,7,Coby White,-1.5,,,,
2019,8,Jaxson Hayes,-0.3,,,,
2019,9,Rui Hachimura,-1.9,,,,
2019,10,Cam Reddish,-3.1,,,,
2019,11,Cameron Johnson,1.4,,,,
2019,12,P.J. Washington,-1.2,,,,
2019,13,Tyler Herro,0.7,,,,
2019,14,Romeo Langford,-3.4,,,,
2019,15,Sekou Doumbouya,-6.5,,,,
2019,16,Chuma Okeke,-1.1,,,,
2019,17,Nickeil Alexander-Walker,-1.1,,,,
2019,18,Goga Bitadze,1.1,,,,
2019,19,Luka Šamanić,-5.6,,,,
2019,20,Matisse Thybulle,1,,,,
2019,21,Brandon Clarke,2.4,,,,
2019,22,Grant Williams,-1.9,,,,
2019,23,Darius Bazley,-2.4,,,,
2019,24,Ty Jerome,0.4,,,,
2019,25,Nassir Little,-2.6,,,,
2019,26,Dylan Windler,-1.4,,,,
2019,27,Mfiondu Kabengele,-3.6,,,,
2019,28,Jordan Poole,-1.8,,,,
2019,29,Keldon Johnson,-1.1,,,,
2019,30,Kevin Porter Jr.,-1.3,,,,
2019,31,Nic Claxton,1.3,,,,
2019,32,KZ Okpala,-4.7,,,,
2019,33,Carsen Edwards,-5.1,,,,
2019,34,Bruno Fernando,-3,,,,
2019,35,Didi Louzada,-8.1,,,,
2019,36,Cody Martin,-1.8,,,,
2019,37,Deividas Sirvydis,-5.9,,,,
2019,38,Daniel Gafford,1.8,,,,
2019,39,Alen Smailagić,-3.3,,,,
2019,40,Justin James,-3.1,,,,
2019,41,Eric Paschall,-2.2,,,,
2019,42,Admiral Schofield,-4.6,,,,
2019,43,Jaylen Nowell,-2.1,,,,
2019,44,Bol Bol,-0.4,,,,
2019,45,Isaiah Roby,-2.3,,,,
2019,46,Talen Horton-Tucker,-2,,,,
2019,47,Ignas Brazdeikis,-4.9,,,,
2019,48,Terance Mann,-0.9,,,,
2019,49,Quinndary Weatherspoon,-5.5,,,,
2019,50,Jarrell Brantley,0,,,,
2019,51,Tremont Waters,-3,,,,
2019,52,Jalen McDaniels,-3.3,,,,
2019,53,Justin Wright-Foreman,-9,,,,
2019,54,Marial Shayok,-13,,,,
2019,55,Kyle Guy,-4.9,,,,
2019,56,Jaylen Hands,0,,,,
2019,57,Jordan Bone,-5.9,,,,
2019,58,Miye Oni,-2.5,,,,
